1000 5000
538 128 39
18 470 35
392 280 42
754 533 7
743 400 0
21 485 38
720 190 40
634 647 25
983 461 44
142 630 41
63 520 20
554 538 42
492 930 22
34 685 8
94 780 8
644 802 45
784 522 37
925 157 35
602 492 48
296 986 30
840 49 1
512 956 39
654 448 22
428 482 7
88 576 37
797 220 39
694 5 14
782 282 23
869 236 15
417 884 3
299 724 4
350 236 10
292 242 8
164 23 41
721 111 19
410 260 40
902 955 47
916 89 31
439 958 17
806 375 1
511 674 28
265 377 16
976 669 11
134 833 36
127 906 49
697 316 10
839 570 17
986 486 8
767 277 16
136 435 43
37 946 19
367 212 46
934 540 17
95 674 0
631 802 8
630 851 25
242 690 47
161 676 34
169 795 13
135 931 1
180 320 47
900 688 11
996 974 1
114 69 28
416 52 32
625 682 33
502 277 23
949 790 1
235 960 46
799 447 29
502 628 49
799 528 39
13 876 13
766 990 34
194 759 36
776 384 21
209 238 0
684 539 40
835 775 0
781 926 0
362 428 28
264 579 8
853 944 34
769 711 27
105 257 36
142 34 22
565 595 10
265 632 49
107 467 26
558 601 2
160 963 32
38 227 14
796 433 8
430 554 19
407 659 27
495 801 13
967 718 10
29 335 42
631 443 12
7 353 13
662 513 28
96 551 6
110 699 41
69 481 45
90 889 4
369 736 8
682 704 26
295 733 14
187 364 7
251 724 10
564 738 23
193 834 26
401 945 25
394 366 6
589 456 47
795 826 34
803 860 40
882 155 23
648 695 40
505 946 16
67 863 4
790 408 40
768 161 35
93 555 1
251 144 10
651 291 38
435 447 48
275 681 6
200 329 1
842 834 49
560 901 14
664 43 22
955 811 33
542 256 40
496 859 36
258 510 28
846 297 25
294 924 6
250 125 35
253 319 21
555 880 24
719 896 17
644 203 30
729 746 36
370 594 45
858 852 8
286 698 5
513 344 30
421 947 7
658 200 28
729 107 8
53 179 7
772 175 10
302 904 8
440 626 2
86 485 6
946 123 4
751 637 1
833 410 48
392 69 0
271 150 8
381 556 37
388 328 12
951 983 18
259 423 45
514 861 32
972 807 7
129 911 44
630 744 7
78 137 26
78 760 28
186 141 34
825 882 15
639 833 48
358 444 23
55 310 35
589 283 44
246 412 5
893 42 0
950 120 39
428 550 49
56 737 42
241 914 24
458 554 9
658 264 4
281 319 16
118 260 49
763 506 13
318 399 5
970 701 27
111 129 28
12 186 17
55 779 33
979 589 37
89 247 3
995 880 24
211 999 34
711 114 43
326 784 42
632 107 46
761 218 25
441 231 13
210 286 44
894 617 35
483 58 32
337 53 15
213 617 14
998 680 30
641 6 14
35 638 23
131 752 42
709 545 25
824 756 13
71 2 30
906 485 41
989 174 44
656 388 11
970 738 41
102 379 48
18 766 38
42 250 42
284 959 38
461 135 46
924 206 48
356 113 35
847 454 12
744 110 2
257 432 40
451 886 21
299 904 39
489 946 39
784 582 0
272 43 36
868 319 42
818 676 7
253 875 13
215 619 25
269 877 9
709 680 45
232 331 0
522 820 46
413 956 29
264 228 24
250 448 44
794 618 22
804 872 47
267 439 19
193 709 48
254 770 28
850 355 9
350 229 31
148 642 38
177 906 18
954 508 19
698 303 37
470 107 11
469 726 3
440 271 14
288 526 36
816 376 41
27 78 22
59 226 15
399 404 23
967 358 32
688 408 37
676 230 44
239 51 22
242 492 44
306 780 22
493 949 48
386 328 26
509 387 2
626 138 8
649 458 18
181 146 28
720 174 8
14 414 12
739 656 4
735 315 34
257 160 35
507 546 14
483 55 3
37 33 42
348 683 0
368 216 46
149 937 21
159 303 37
221 42 43
775 777 10
462 386 20
97 893 17
61 728 24
117 766 8
959 466 43
259 186 9
57 335 46
30 495 2
417 716 46
813 492 24
523 306 10
394 403 6
163 817 34
339 934 2
549 893 18
442 504 5
904 913 42
302 944 37
4 361 6
101 526 48
327 50 4
939 796 9
445 311 26
680 2 12
32 552 7
203 346 11
560 250 27
252 553 21
440 557 34
48 10 11
148 337 13
554 277 11
363 74 24
342 754 26
254 139 28
764 342 25
777 902 27
704 154 30
575 946 40
160 994 0
623 142 40
488 696 19
149 412 43
825 754 48
151 360 37
382 124 29
959 902 33
786 606 37
167 534 36
809 46 30
109 669 25
451 157 23
70 658 35
764 483 39
564 986 2
503 368 26
432 327 30
967 466 37
304 633 21
292 794 17
275 255 38
400 707 47
573 777 7
159 893 42
850 457 28
902 960 47
431 744 26
861 711 42
898 368 27
821 660 21
790 287 29
780 687 36
279 613 13
436 124 9
428 974 16
759 229 27
458 660 21
484 873 35
329 124 3
158 945 15
782 88 3
661 868 42
247 500 5
962 936 31
571 717 8
638 476 37
17 934 49
140 770 22
327 451 46
882 610 44
98 392 32
953 53 2
847 652 4
355 614 41
986 538 10
944 528 38
483 545 22
34 37 44
107 365 46
655 247 6
149 697 0
83 2 3
238 850 5
892 205 21
835 191 11
495 488 39
983 323 36
757 358 26
302 465 41
650 120 40
608 622 38
958 57 40
361 295 40
768 540 47
141 375 41
53 223 29
844 558 2
533 316 10
259 970 27
350 972 0
40 580 24
780 538 31
171 899 29
763 19 19
561 512 46
254 917 19
83 762 28
587 295 46
450 554 16
129 256 38
929 296 18
55 429 8
887 600 7
718 715 28
737 628 40
835 882 8
805 317 22
685 257 19
881 707 23
399 836 29
889 118 27
607 173 6
215 412 8
74 130 26
304 219 6
46 55 39
706 212 8
128 897 15
197 130 22
172 529 11
403 418 31
283 377 6
591 944 19
852 370 1
828 26 23
784 72 30
975 779 44
484 259 41
249 809 23
74 981 2
735 737 22
866 20 1
874 611 45
943 815 17
847 643 43
322 780 17
204 107 46
298 591 8
289 193 17
762 267 0
116 354 37
240 572 9
741 446 23
538 742 38
705 589 32
250 263 14
867 467 21
616 765 15
624 406 8
441 520 25
591 988 29
831 228 1
90 969 47
313 859 41
352 916 32
386 166 45
200 385 14
473 1 29
338 977 37
396 418 7
73 362 45
104 193 25
707 635 46
405 949 5
548 653 23
281 39 39
276 591 27
91 64 30
22 755 8
360 151 26
569 577 40
415 681 33
192 389 19
939 146 20
896 694 23
770 975 14
161 604 5
938 695 21
69 69 26
177 429 30
55 999 7
296 766 38
81 958 29
502 249 25
224 146 22
247 916 47
661 77 1
18 16 48
440 437 18
616 966 49
296 21 48
905 669 16
196 751 27
875 605 26
53 830 22
925 429 38
772 443 18
576 461 36
426 901 23
994 870 39
696 518 12
396 424 32
863 620 35
640 847 42
18 900 22
543 825 4
983 950 47
501 878 8
387 304 12
62 651 32
351 347 2
366 743 26
50 958 48
837 950 48
229 969 48
804 512 26
808 847 28
255 349 8
163 736 14
677 151 15
709 854 14
612 220 10
290 270 18
941 107 21
439 689 40
189 493 4
117 653 1
347 908 2
455 423 41
572 101 42
339 162 46
454 126 19
16 769 39
184 710 49
655 501 40
447 42 33
103 512 38
607 211 46
811 19 21
752 591 24
196 930 37
143 736 15
662 752 34
803 289 46
404 296 47
694 96 42
829 199 6
617 158 17
665 322 36
137 74 27
61 271 8
500 766 46
66 780 49
400 935 38
797 340 34
46 386 30
690 216 32
846 185 42
214 851 14
952 340 41
930 753 14
190 254 30
186 672 12
287 72 47
325 221 39
660 620 26
442 310 42
424 509 29
269 75 30
83 27 20
324 309 24
188 499 30
170 38 2
932 325 26
982 651 48
371 663 20
147 457 32
491 234 41
21 503 16
753 938 46
826 263 5
652 803 7
732 326 45
836 258 20
12 592 23
762 964 38
132 463 48
165 307 32
58 328 37
27 433 25
23 259 40
328 911 46
485 995 22
32 831 32
905 196 25
428 958 39
319 443 4
667 960 11
601 370 41
38 397 25
413 420 36
756 101 48
902 938 45
374 323 29
456 228 25
131 8 35
122 679 30
577 346 40
690 947 13
132 337 10
7 751 33
493 507 36
243 409 26
989 135 49
918 591 27
395 723 38
830 197 17
413 774 16
955 465 15
868 949 3
179 956 6
614 801 15
150 397 26
976 738 11
126 8 2
855 403 27
593 585 25
11 998 1
127 306 18
542 174 17
647 353 23
503 967 27
218 469 26
694 446 14
305 924 22
860 779 27
137 725 14
964 736 15
566 215 21
984 109 45
352 757 1
27 260 20
856 831 40
82 525 38
46 183 12
370 43 41
449 532 16
466 497 4
481 63 21
154 399 31
1 751 40
202 131 2
75 987 33
65 70 11
205 468 46
917 191 39
760 992 23
329 458 20
633 291 35
857 797 37
190 799 38
280 353 21
334 428 9
220 845 31
983 50 1
929 319 42
270 80 37
143 409 47
866 394 39
3 603 38
540 793 37
181 425 41
952 112 21
63 332 17
244 315 19
246 244 39
790 514 21
327 9 30
675 875 26
666 231 30
454 771 25
42 304 3
335 257 15
56 672 47
975 917 14
945 163 8
586 953 24
307 281 33
789 308 11
17 974 42
849 428 15
475 822 22
230 157 31
745 566 3
592 541 20
458 838 35
216 424 39
192 83 22
177 872 32
38 242 6
482 91 36
50 918 9
922 148 18
755 245 34
908 189 28
979 647 16
564 215 43
455 407 26
979 585 1
811 975 45
969 810 36
556 212 7
317 486 7
235 241 3
72 149 42
450 480 40
18 397 5
11 204 15
440 184 0
93 347 27
988 317 37
974 873 1
583 190 37
341 777 28
696 201 30
888 3 10
80 22 9
136 385 14
303 177 0
55 270 47
782 258 14
672 585 37
773 168 29
361 861 9
189 557 10
519 446 16
682 878 38
241 366 25
357 669 3
657 724 25
305 507 34
269 531 19
459 304 39
190 665 1
51 207 8
762 78 6
828 760 35
268 354 1
445 711 21
800 369 45
426 26 4
662 295 35
131 106 40
120 649 7
323 700 16
732 814 45
290 642 7
375 262 13
179 60 27
300 860 46
497 638 24
554 300 21
789 431 28
681 904 29
591 227 29
707 311 44
254 602 38
914 329 3
279 508 13
356 160 25
154 10 14
978 564 14
450 353 48
380 387 4
959 978 33
238 37 45
684 644 49
773 558 28
828 837 39
591 546 49
918 700 9
532 679 23
799 129 29
497 509 16
803 820 46
336 58 33
533 95 27
332 220 37
813 48 27
802 991 23
303 909 25
463 442 4
538 593 35
319 442 46
487 245 16
633 581 27
169 115 22
348 799 42
438 612 40
365 414 31
190 70 42
715 533 36
272 423 29
957 95 21
504 582 18
222 568 2
999 89 19
871 789 18
315 227 33
455 944 49
938 134 19
683 202 4
869 474 28
649 783 23
222 639 7
393 862 25
145 213 16
364 437 6
734 752 33
717 560 30
467 850 16
286 533 18
991 403 44
471 404 28
46 978 17
555 371 29
633 868 43
799 584 32
755 319 34
291 388 44
771 207 47
89 494 30
258 837 35
604 660 39
382 58 20
800 613 41
431 246 12
276 46 46
558 153 17
945 444 6
891 567 13
688 9 9
19 619 48
456 223 8
298 606 16
118 758 32
661 541 28
73 818 26
70 728 30
737 673 26
145 565 46
409 253 5
870 624 24
169 433 47
127 731 5
496 849 13
478 510 7
58 936 25
685 358 3
465 447 29
41 593 44
537 354 49
394 224 26
518 745 9
218 225 42
523 721 41
939 551 3
896 609 41
23 294 49
878 111 47
759 153 40
853 42 46
905 789 22
933 307 18
394 877 43
586 753 16
979 692 17
882 940 28
74 315 23
975 545 34
972 305 39
914 510 34
210 415 23
435 700 32
53 94 10
896 32 13
812 11 7
631 894 49
59 320 16
134 295 11
321 620 16
12 886 27
746 449 44
621 884 45
156 937 41
216 185 24
381 349 37
590 980 31
91 391 3
907 526 1
268 847 23
287 211 9
464 310 8
760 931 44
757 87 33
849 655 18
325 388 17
812 978 49
546 69 41
951 328 19
4 597 18
677 884 29
589 700 39
949 460 23
194 218 12
727 419 20
446 96 8
865 260 39
617 806 10
408 110 39
429 114 38
297 792 24
728 381 24
118 330 36
143 876 6
255 604 27
727 402 25
236 619 36
427 236 44
687 644 4
276 73 19
166 722 13
940 451 46
766 921 28
405 64 5
261 671 11
241 399 13
316 987 32
4 414 21
499 101 15
455 730 41
526 896 15
389 837 16
337 603 39
616 8 5
123 622 27
586 215 28
451 883 15
583 888 29
656 739 32
22 194 12
165 721 9
382 462 46
51 800 1
640 768 12
646 243 36
675 829 3
103 280 36
518 215 26
699 872 15
981 246 10
994 763 31
255 145 43
353 196 45
54 189 13
468 835 8
856 510 37
459 965 17
946 483 33
672 534 7
138 515 3
150 509 16
883 764 11
78 469 10
74 524 49
189 344 34
548 201 46
735 660 11
555 958 46
590 631 30
497 121 47
650 623 9
918 506 25
331 584 45
941 10 19
740 200 15
726 100 16
574 835 27
387 742 37
683 332 18
865 829 41
563 831 14
122 749 20
149 81 7
294 22 17
315 115 17
681 193 17
247 768 5
826 155 47
364 191 32
884 56 11
878 971 45
142 445 44
265 595 27
972 889 2
689 205 17
959 886 10
328 485 30
885 664 36
185 380 27
817 264 35
630 142 9
275 637 4
22 902 1
849 226 41
51 267 48
720 226 36
583 907 21
213 792 37
351 329 17
680 146 32
66 777 26
127 404 13
281 426 17
735 628 43
78 31 11
626 104 39
412 687 46
35 252 41
675 604 20
342 284 17
274 702 46
53 829 0
116 463 29
786 198 7
329 276 38
140 254 42
530 18 31
178 405 34
619 80 40
742 423 26
659 49 31
57 102 10
859 571 25
88 357 23
945 38 1
186 531 5
530 413 23
562 591 29
198 563 9
790 305 32
666 316 34
597 373 36
710 584 9
285 673 18
411 970 7
812 508 38
468 39 1
493 953 44
924 151 9
84 293 14
18 959 32
2 909 7
441 619 42
802 256 15
521 667 37
630 832 46
918 652 35
971 145 40
967 70 41
527 506 36
743 876 45
276 879 6
885 672 27
727 474 36
594 347 3
432 977 37
130 247 39
515 570 37
205 538 9
398 417 15
884 512 41
681 140 22
740 26 46
417 105 21
55 700 18
9 484 48
498 614 45
288 481 16
927 38 6
636 788 25
203 24 37
646 57 28
969 797 4
667 567 11
488 622 11
9 983 47
507 482 13
604 122 44
920 401 34
478 37 22
453 592 46
941 238 4
921 559 1
927 227 20
38 67 43
202 428 28
849 935 10
815 892 34
909 164 35
746 643 24
18 448 16
315 741 7
21 662 18
524 941 45
595 980 15
640 182 43
668 383 31
531 198 23
867 460 39
253 206 32
27 224 31
746 891 24
703 264 37
923 789 28
371 736 10
886 376 42
181 396 28
764 279 26
239 147 36
879 752 44
161 131 19
244 877 12
69 932 27
908 856 18
688 227 4
449 465 32
743 646 30
773 411 10
650 650 9
338 529 11
233 43 44
704 639 24
418 60 6
397 968 14
165 9 43
669 458 10
901 553 9
234 327 22
846 329 24
605 19 4
468 604 49
462 660 40
686 79 1
195 476 19
911 642 30
207 663 40
967 917 44
78 151 23
600 997 2
125 602 23
531 422 28
980 236 38
420 923 17
921 470 46
743 733 40
925 940 3
566 260 20
112 338 23
985 939 20
539 416 24
112 947 46
290 927 35
481 699 10
750 973 30
496 68 15
236 993 6
992 911 18
664 23 8
488 8 49
308 899 15
435 364 12
983 654 41
768 487 43
828 238 16
710 734 36
326 323 31
234 315 43
402 979 16
260 467 27
762 128 26
327 563 40
840 898 47
631 667 34
474 495 24
642 558 9
230 884 34
812 118 49
657 872 30
173 484 0
402 246 30
531 574 45
23 766 43
522 397 10
157 224 8
381 218 16
692 449 2
326 613 22
627 270 44
260 795 28
360 550 27
940 81 3
787 104 19
180 627 18
593 136 44
853 869 13
671 914 14
373 592 29
545 220 1
941 480 48
821 192 48
948 484 29
1 271 36
172 803 15
741 396 3
885 249 24
600 272 38
764 645 31
893 542 3
996 483 35
895 657 27
343 605 11
225 959 34
563 131 37
528 224 36
333 110 37
7 710 10
596 827 7
129 72 2
234 69 37
819 964 44
948 307 2
561 532 11
445 95 44
484 975 19
920 308 29
958 668 41
620 264 18
927 745 41
129 979 12
167 150 26
861 98 33
865 659 18
476 104 15
923 940 43
242 861 3
23 819 21
866 439 37
185 718 32
928 848 13
740 367 13
868 580 13
303 446 22
271 274 28
39 197 19
782 439 32
537 814 1
609 681 42
296 218 12
81 498 12
844 590 29
110 458 12
825 113 10
848 385 34
678 776 32
449 910 23
81 447 40
884 56 23
478 353 41
791 786 41
303 982 31
535 444 41
347 270 4
957 470 41
193 148 19
275 598 29
501 679 27
893 916 35
966 394 40
257 185 26
750 489 9
833 376 3
726 723 23
732 32 43
124 225 44
643 853 44
425 706 25
654 599 41
939 565 36
930 174 21
58 924 12
169 109 38
373 835 13
198 567 45
494 43 23
290 687 28
684 464 34
109 118 35
451 57 2
187 339 26
460 398 2
223 919 11
361 292 48
575 843 15
172 689 9
347 979 48
375 15 12
461 124 32
146 927 39
748 466 31
876 927 31
280 150 0
793 863 45
141 790 40
409 315 29
368 662 10
718 390 25
180 851 1
112 998 31
453 98 47
486 327 24
917 607 26
620 401 42
615 894 32
805 303 49
36 23 12
598 741 2
175 273 5
228 737 3
209 191 4
657 677 31
383 947 40
260 567 43
352 534 40
586 691 43
136 727 17
700 325 10
654 852 34
459 80 21
615 290 14
221 299 44
154 682 41
694 942 10
340 646 44
880 585 35
75 73 14
942 773 41
255 427 43
489 238 23
460 853 15
327 426 14
871 580 47
362 275 41
772 967 40
68 847 25
703 922 48
769 217 23
160 472 2
755 313 40
78 125 46
396 452 22
660 323 3
607 37 30
201 161 47
441 229 46
266 284 20
516 53 39
539 565 13
341 320 26
381 751 4
979 147 6
652 807 32
257 767 19
489 968 31
336 409 10
734 27 47
54 543 0
944 82 18
657 423 38
36 156 41
540 136 38
496 140 48
128 397 15
150 238 33
981 926 44
393 660 21
90 66 14
193 10 48
861 20 21
201 408 29
293 948 15
531 796 7
929 277 6
446 427 44
931 760 20
825 153 30
98 244 49
914 789 11
812 650 31
485 203 39
315 496 39
632 380 36
442 661 13
648 108 42
93 391 2
815 217 5
198 667 1
647 934 40
458 746 42
642 584 46
233 251 44
773 235 24
109 677 36
74 326 46
466 771 39
618 586 8
923 136 26
177 783 10
867 594 8
912 236 42
808 469 45
552 242 31
29 703 8
167 777 36
765 595 7
754 213 46
313 489 32
539 666 18
51 885 12
309 149 0
504 957 19
949 862 14
630 891 19
341 410 49
377 175 44
537 929 10
635 242 49
869 133 17
887 184 4
851 846 4
51 350 13
73 651 25
337 634 18
656 975 28
105 704 3
502 241 35
112 876 27
211 98 13
680 985 47
386 189 45
890 240 45
56 313 47
83 2 31
2 659 8
682 116 12
538 618 4
323 730 32
702 293 32
215 325 18
265 64 7
160 306 49
406 362 15
655 446 17
538 800 26
396 482 45
310 20 15
466 343 48
851 46 43
333 261 21
801 878 35
810 39 41
412 797 4
327 452 0
244 342 0
173 90 34
570 400 5
585 867 0
683 718 46
779 51 10
200 205 38
685 367 29
476 779 26
982 458 28
934 703 22
686 228 12
921 798 13
176 735 30
478 771 48
475 550 1
437 750 6
277 787 26
157 615 5
833 598 16
314 532 19
136 219 49
49 492 49
362 20 34
894 498 5
144 325 7
445 762 7
304 392 46
530 549 12
887 734 10
703 48 44
574 537 15
673 938 7
922 652 27
259 546 26
14 42 1
24 487 16
783 143 8
330 673 9
492 913 43
604 616 44
248 191 31
816 216 19
523 491 23
603 750 19
181 116 13
84 140 0
750 924 46
160 254 21
119 98 34
165 702 1
259 302 44
242 118 10
163 994 3
736 597 3
207 778 20
720 862 12
72 965 36
568 125 42
442 597 40
876 762 44
279 373 47
225 967 17
388 130 11
41 218 10
445 425 40
317 497 3
329 569 20
266 490 47
808 932 46
801 160 10
495 440 33
844 17 0
312 405 32
125 447 0
536 244 27
76 561 24
831 890 44
903 508 36
101 669 18
599 470 28
860 965 20
845 810 38
446 122 45
880 599 42
181 487 38
610 916 49
185 747 42
681 3 2
667 456 21
937 55 41
15 915 7
238 761 17
478 559 41
123 439 42
568 972 30
256 935 46
858 120 45
702 801 48
54 820 4
76 757 12
567 772 27
376 362 40
995 840 1
88 316 43
781 884 15
961 492 0
57 702 22
604 404 25
803 459 45
809 887 2
871 454 27
201 183 41
643 178 32
645 267 0
438 48 34
555 361 28
608 770 31
780 374 37
106 529 46
603 339 35
858 562 40
885 115 25
626 759 3
560 404 22
810 842 20
296 397 33
627 5 3
308 138 28
745 596 9
994 199 48
129 57 13
71 294 28
196 273 39
852 833 43
774 996 37
97 644 37
780 271 44
234 579 32
414 677 28
123 23 30
524 504 39
487 576 34
917 124 7
107 976 42
52 103 40
840 200 35
377 980 6
271 566 38
656 980 17
636 456 40
168 980 44
758 819 22
994 88 47
503 195 25
197 600 28
888 792 30
223 169 13
181 792 29
719 800 10
286 789 16
228 957 48
323 715 17
697 61 5
196 564 3
672 762 5
602 650 47
85 225 18
548 406 12
577 478 13
939 116 2
757 345 11
555 20 27
524 717 40
582 914 5
187 938 17
392 892 19
741 977 46
259 525 2
273 455 32
736 394 49
340 504 44
902 59 14
531 936 33
221 870 47
828 57 37
197 801 30
568 894 7
164 153 35
519 426 40
351 515 36
652 207 40
946 461 2
612 344 38
996 918 10
645 746 19
233 296 20
65 864 16
522 29 19
209 548 47
351 251 14
888 904 22
928 202 35
732 815 30
472 163 48
82 160 46
